DataLineBean [transactionDate=null, bookDate=null, cardNumber=账户币种(Currency), currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=最低还款额(Min.Payment)]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=卡号后四位, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=交易描述]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：美味源金麟]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：尧都农商银行]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：光大深圳]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：美味源金麟]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：美味源金麟]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：中国银联]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：COSTA COFFEE]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-北京嘀嘀无限科技发展有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：COSTA COFFEE]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-华润万家有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-刘巳萍]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：星巴克咖啡（深圳）]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-杭州晨熹多媒体科技有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-金拱门（中国）有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：中信银行股份有限公]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-深圳市柏恒食品有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-深圳市大鲨鱼餐饮管理有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-夏津]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-任一碗深圳购物公园店]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：美味源金麟]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：百里臣便利店]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-广东赛壹便利店有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-夏津]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-中国移动通信集团浙江有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-华润万家有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：深圳市柏恒食品有限]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-深圳大食代餐饮管理有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：中国银联]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-大西北深圳购物公园店]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-深圳市福田区首脑美发发展兴苑]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-百胜咨询（上海）有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-深圳市新食代商业运营管理有限]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-北京嘀嘀无限科技发展有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=手机银行 按卡转账还款 4431]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-北京嘀嘀无限科技发展有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-金拱门（中国）有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-金拱门（中国）有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-星巴克（上海）咖啡有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-深圳市柏恒食品有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-咖世家咖啡（上海）有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：光大深圳]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-杭州晨熹多媒体科技有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-夏津]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-华润万家有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：COSTA COFFEE]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-刘巳萍]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-夏津]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：中国银联]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-夏津]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-咖世家咖啡（上海）有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：COSTA COFFEE]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=财付通-微信支付：美味源金麟]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-华润万家有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-深圳市百鲜果商贸有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-北京嘀嘀无限科技发展有限公司]
DataLineBean [transactionDate=null, bookDate=null, cardNumber=5191, currency=null, transactionAmount=null, settlementAmount=null, transactionDescription=支付宝-星巴克（上海）咖啡有限公司]
